the other	(ten) druhý
nest	skrýše
group	skupina
indeed	skutečně
really	skutečně
real	skutečný
poor	slabý
promise	slíbit
elephant	slon
word	slovo
Sun	Slunce
the Sun	Slunce
tear	slza
tears	slzy
laugh	smát
broom	smeták
mixed	smíšený
easily	snadno
easy	snadný
you've tried	snažil ses
try	snažit
snowman	sněhulák
snow	sníh
hardly	sotva
to agree with sb.	souhlasit s někým
competition	soutěž
Soviet	sovětský
sleep	spát
writer	spisovatel
plenty of	spousta
heart	srdce
we keep riding	stále se vozíme
stall	stánek
take care (of)	starat se (o)
become	stát se
happen	stát se
hardly	stěží
hundred	sto
worth (reading)	stojí (za čtení)
table tennis	stolní tenis
sign	stopa
machine	stroj
roof	střecha
variation	střídání
study	studovat
table	stůl
dry	suchý
biscuit	sušenka
world	svět
nephew	synovec
wardrobe	šatník
grey	šedý
pity	škoda
log	špalek
screwdriver	šroubovák
cheerful	šťastný
pull	táhnout
to tow	táhnout
as-as	tak-jako
they stay that way	takoví zůstanou
such	takový
so-called	takzvaný
pitter-patter	ťapkání
phone	telefon
phone	telefon
body	těleso
gymnasium	tělocvična
gym	tělocvik
tennis	tenis
the same	tentýž
temperature	teplota
close	těsný
aunt	teta
hard to spy	těžko se hledají
thousand	tisíc
title	titul
it's a shame	to je škoda
it makes me laugh	to mě rozesměje
factory	továrna
wheelbarrow	trakař
track	trať
grass	tráva
tribune	tribuna
little	trochu
patient	trpělivý
droppings	trus
last	trvat
to insist	trvat
form	třída
tube	tuba
little things	tvorečkové
fast asleep	tvrdě spát
tiger	tygr
typical	typický
harm	ublížit
hurt	ublížit
attend	účastnit
hit	udeřit
keep up	udržet se nahoře
scurry	uhánět
coal	uhlí
tidy up	uklízet
hive	úl
university	universita
fix	upevnit
certainly	určitě
official	úřední
central heating	ústřední topení
to realize	uvědomit si
enjoy	užít si
defective	vadný
bath	vana
version	varianta
bee	včela
yesterday	včera
in twos	ve dvojicích
supper	večeře
y side	vedle mne
egg	vejce
eggs	vejce
age	věk
camel	velbloud
very few shops	velmi málo obchodů
out	ven
outside	venku
porch	veranda
believe	věřit
gay	veselý
jolly	veselý
merry	veselý
hang	věšet
most	většina
squirrel	veverka
entrance	vchod
soldier	voják
choice	volba
to return	vrátit (se)
squeak	vrzat
rise	vstávat
everybody	všichni
mind the clock	všímej si hodin
mind	všimnout
everywhere	všude
leader	vůdce
ticket collector	výběrčí jízdenek
to choose chose chosen	vybrat (si)
to pick	vybrat si
exhausted	vyčerpaný
bargain	výhodná koupě
convenient	výhodný
east	východ
except	vyjma
to tip	vyklopit
trip	výlet
looks like	vypadá jako
sales	výprodej
produce	vyrábět
anniversary	výročí
plant	vysadit
exhibition	výstava
explain	vysvětlit
pull out	vytáhnout
education	vzdělání
air	vzduch
model	vzor
behind	za
to pack up	zabalit
rail	zábradlí
curtain	záclona
beginning	začátek
begin	začít
to work up a sweat	začít se potit
back	záda
hare	zajíc
interesting	zajímavý
matter	záležitost
sweep	zametat
cloudy	zamračený
busy	zaneprázdněn
west	západ
struggle	zápas
again	zase
drawer	zásuvka
ring up	zatelefonovat
close	zavírat
race	závod
record	záznam
rest	zbytek
we seem to see	zdá se nám, že
healthy	zdravý
source	zdroj
vegetable	zelenina
Earth	Země
the Earth	Země
farmer	zemědělec
cooperative farm	zemědělské družstvo
geography	zeměpis
disappointed	zklamaný
variation	změna
mention	zmínit se
icy	zmrzlý
mean	znamenat
sign	známka
sound	znít
again	znovu
zoology	zoologie
slow down	zpomalit
way	způsob
ripe	zralý
looking-glass,mirror	zrcadlo, zrcadlo
lose	ztratit
tooth	zub
tooth,teeth	zub, zuby
dentist	zubní lékař
toothpaste	zubní pasta
special	zvláštní
sound	zvuk
iron bar	železná tyč
tortoise	želva
farewell	žijte blaze
giraffe	žirafa
life	život
hedge	živý plot
harvest	žně
